date,futures_id,contract_date,open,high,low,close,spread,spread_per,volume,settlement_price,SMA_5,SMA_10,SMA_20,SMA_50,SMA_100,rsi,bbands_upperband,bbands_middleband,bbands_lowerband,macd_macd,macd_macdsignal,macd_macdhist,atr,profit_or_loss_after_20_days
2024-04-18,TX,202405,20070.0,20359.0,20025.0,20358.0,169.0,0.84,120221,20353.0,20351.8,20503.6,20367.4,19547.38,,55.33691816598718,20907.973917239677,20367.4,19826.826082760326,235.56145912425927,329.757570170493,-94.19611104623374,254.02492939012498,978.0
2024-04-19,TX,202405,19840.0,19924.0,19265.0,19546.0,-807.0,-3.97,237961,19559.0,20110.0,20423.3,20353.05,19578.32,,39.87745940877802,20960.68425676973,20353.05,19745.415743230267,151.3836413577228,294.08278440793896,-142.69914305021615,313.95172014797316,1756.0
2024-04-22,TX,202405,19620.0,19715.0,19445.0,19524.0,-35.0,-0.18,135191,19528.0,19913.2,20330.7,20316.05,19606.3,,39.55503167712364,21022.889578688162,20316.05,19609.210421311836,81.95220417473683,251.65666836129853,-169.7044641865617,310.8123115659751,1753.0
2024-04-23,TX,202405,19651.0,19745.0,19554.0,19677.0,149.0,0.76,100612,19680.0,19858.0,20211.0,20287.8,19638.22,,43.00634845346437,21047.411900907304,20287.8,19528.188099092695,38.825554482369625,209.09044558551275,-170.26489110314313,304.39714645411976,1906.0
2024-04-24,TX,202405,19930.0,20202.0,19916.0,20170.0,490.0,2.49,101458,20170.0,19855.0,20142.9,20284.75,19683.22,,52.431426730089235,21045.738271920203,20284.75,19523.761728079797,43.922047692256456,176.0567660068615,-132.13471831460504,320.1544931359684,1434.0
2024-04-25,TX,202405,19940.0,19979.0,19834.0,19885.0,-285.0,-1.41,96972,19880.0,19760.4,20056.1,20269.65,19721.2,,47.53729583781775,21049.54749967522,20269.65,19489.752500324783,24.679447811769933,145.78130236784318,-121.10185455607325,321.2863150548278,1680.0
2024-04-26,TX,202405,20126.0,20271.0,20070.0,20178.0,298.0,1.5,113798,20176.0,19886.8,19998.4,20265.5,19763.08,,52.45124335150959,21046.420098345567,20265.5,19484.579901654433,32.695308899004885,123.16410367407552,-90.46879477507063,325.90872112234007,1697.0
2024-04-29,TX,202405,20350.0,20560.0,20310.0,20552.0,376.0,1.86,97993,20550.0,20092.4,20002.8,20282.95,19812.4,,57.87509099989325,21073.04707631396,20282.95,19492.85292368604,68.43770366651006,112.21882367256242,-43.78112000605236,329.9152410421729,1402.0
2024-04-30,TX,202405,20518.0,20576.0,20404.0,20413.0,-137.0,-0.67,77061,20413.0,20239.6,20048.8,20289.6,19847.32,,55.3481265974081,21081.722061301243,20289.6,19497.477938698754,84.57276847106186,106.68961263226231,-22.116844161200447,318.635580967732,1309.0
2024-05-02,TX,202405,20250.0,20380.0,20215.0,20291.0,-122.0,-0.6,90193,20292.0,20263.8,20059.4,20289.75,19880.46,,53.15442973477954,21081.87192874588,20289.75,19497.62807125412,86.51821504475811,102.65533311476148,-16.137118070003368,310.01875375575116,1100.0
2024-05-03,TX,202405,20548.0,20597.0,20306.0,20382.0,90.0,0.44,100974,20382.0,20363.2,20061.8,20282.7,19914.68,,54.59985994076114,21068.880157470292,20282.7,19496.51984252971,94.31572201794188,100.98741089539756,-6.671688877455679,309.7316999160547,903.0
2024-05-06,TX,202405,20685.0,20714.0,20562.0,20602.0,220.0,1.08,83722,20601.0,20448.0,20167.4,20295.35,19951.66,,57.975794931662975,21093.44179296634,20295.35,19497.258207033658,116.89991440983431,104.16991159828491,12.730002811549397,311.3222927791937,1052.0
2024-05-07,TX,202405,20733.0,20756.0,20536.0,20650.0,49.0,0.24,85595,20648.0,20467.6,20280.0,20305.35,19990.82,,58.69742929499887,21115.857563197424,20305.35,19494.842436802574,137.09094931049185,110.7541191407263,26.33683016976555,304.7992718663941,670.0
2024-05-08,TX,202405,20618.0,20738.0,20574.0,20725.0,77.0,0.37,73449,20724.0,20530.0,20384.8,20297.9,20027.54,,59.85735037891612,21089.890631257473,20297.9,19505.90936874253,157.33075216074212,120.06944574472946,37.26130641601266,294.7421810187946,738.0
2024-05-09,TX,202405,20707.0,20763.0,20605.0,20612.0,-112.0,-0.54,79443,20612.0,20594.2,20429.0,20285.95,20061.52,,57.24868291024109,21050.95051633967,20285.95,19520.94948366033,162.38095949742637,128.53174849526886,33.84921100215752,284.974882374595,1263.0
2024-05-10,TX,202405,20738.0,20828.0,20616.0,20809.0,197.0,0.96,97925,20812.0,20679.6,20521.4,20288.75,20098.44,,60.4821401113416,21060.943984695525,20288.75,19516.556015304475,180.20227909742607,138.8658546157003,41.33642448172577,280.0481050621239,1088.0
2024-05-13,TX,202405,20942.0,20965.0,20833.0,20883.0,71.0,0.34,98279,20881.0,20735.8,20591.9,20295.15,20138.76,,61.655341763808636,21084.6235651051,20295.15,19505.676434894904,198.01439811055752,150.69556331467174,47.31883479588578,271.18752612911504,915.0
2024-05-14,TX,202405,20892.0,21015.0,20868.0,21013.0,132.0,0.63,83853,21006.0,20808.4,20638.0,20320.4,20179.7,,63.69448692677536,21165.810527495112,20320.4,19474.98947250489,220.08355804266102,164.5731622602696,55.51039578239141,262.31698854846394,1033.0
2024-05-15,TX,202406,21192.0,21381.0,21120.0,21247.0,238.0,1.13,63095,21243.0,20912.8,20721.4,20385.1,20225.42,,67.08732860501345,21303.08450967333,20385.1,19467.11549032667,253.53280234225895,182.36509027666747,71.16771206559147,269.8657750807165,1076.0
