Date,aapl,aapl_sma20,aapl_sma50,aapl_sma100,aapl_sma150,upperband_5day,middleband_5day,lowerband_5day,macd,macdsignal,macdhist
2022-11-02,143.60670471191406,143.87457275390625,149.17573638916016,149.97530364990234,151.33495798746745,157.12868788944735,148.44081420898436,139.75294052852138,0.26796057765369596,-0.6290936965955698,0.8970542742492658
2022-11-03,137.51708984375,143.55028686523437,148.6083596801758,150.04642807006837,151.10238321940105,159.30777762293292,147.2684356689453,135.22909371495768,-0.4887553230746846,-0.6010260218913928,0.11227069881670815
2022-11-04,137.24929809570312,143.47699127197265,147.9861181640625,150.10617324829101,150.8699979654948,155.7355668109797,143.87596435546874,132.0163618999578,-1.097416349722323,-0.7003040874575788,-0.3971122622647443
2022-11-07,137.78488159179688,143.4141372680664,147.50153015136718,150.14487289428712,150.6139977010091,150.45028550237333,141.06590881347657,131.6815321245798,-1.519056745843642,-0.8640546191347914,-0.6550021267088505
2022-11-08,138.36013793945312,143.45133895874022,147.07280731201172,150.24242446899413,150.38408111572267,143.66389142226308,138.90362243652345,134.14335345078382,-1.7862012022984004,-1.0484839357675133,-0.7377172665308871
2022-11-09,133.7679901123047,143.29061965942384,146.60115631103517,150.2792221069336,150.14481140136718,140.18806358355863,136.93587951660157,133.68369544964452,-2.341472028156005,-1.3070815542452117,-1.0343904739107934
2022-11-10,145.66990661621094,143.4947769165039,146.40101165771483,150.39242126464845,149.98284729003908,146.3573409540603,138.56644287109376,130.7755447881272,-1.8003891987794987,-1.405743083152069,-0.3946461156274297
2022-11-11,148.47677612304688,144.0675163269043,146.24235046386718,150.53883087158204,149.85308959960938,151.6614987776451,140.8119384765625,129.96237817547987,-1.132036831072753,-1.3510018327362059,0.21896500166345279
2022-11-14,147.0684051513672,144.3703140258789,146.09809967041016,150.6422833251953,149.74251037597656,153.9782758382718,142.66864318847655,131.3590105386813,-0.707846913019722,-1.222370848792909,0.514523935773187
2022-11-15,148.8140106201172,144.69404983520508,146.01411010742189,150.72967086791994,149.63099609375,155.97477758244554,144.75941772460936,133.5440578667732,-0.22818717443948344,-1.0235341139222238,0.7953469394827404
2022-11-16,147.57421875,144.950350189209,145.8770053100586,150.80466049194337,149.4931810506185,149.75128756977816,147.52066345214843,145.2900393345187,0.051314262723025195,-0.8085644385931741,0.8598787013161993
2022-11-17,149.4884796142578,145.32563247680665,145.80789093017577,150.9405209350586,149.4017637125651,150.01649919682333,148.2843780517578,146.5522569066923,0.42241666263191746,-0.5623682183481558,0.9847848809800732
2022-11-18,150.0537872314453,145.5370849609375,145.69245391845703,151.064334564209,149.31556315104166,150.85308071441017,148.5997802734375,146.3464798324648,0.7534483053831025,-0.2992049136019041,1.0526532189850066
2022-11-21,146.8005828857422,145.47794723510742,145.39194274902343,151.18043563842772,149.1923375447591,150.9502722786826,148.5462158203125,146.14215936194242,0.7447023989880961,-0.09042345108390404,0.8351258500720001
2022-11-22,148.95286560058594,145.38334121704102,145.32439514160157,151.29620681762697,149.0845793660482,150.992937525563,148.57398681640626,146.15503610724951,0.9010556245181647,0.10787236403650971,0.793183260481655
2022-11-23,149.8356170654297,145.48090591430665,145.24539031982422,151.39479949951172,148.98803802490235,151.37293107369516,149.0262664794922,146.67960188528923,1.0837050704962508,0.3030389053284579,0.7806661651677929
2022-11-25,146.89979553222656,145.6569465637207,145.1658920288086,151.45058624267577,148.9024013264974,151.31588059225868,148.50852966308594,145.7011787339132,0.9802599834088142,0.4384831209445291,0.541776862464285
2022-11-28,143.0415802001953,145.09844284057618,145.0423013305664,151.43387420654298,148.78386830647787,151.79795611830292,147.10608825683593,142.41422039536894,0.5802643475695959,0.4668393662695425,0.1134249813000534
2022-11-29,140.01649475097656,144.50750961303712,144.7833511352539,151.38008895874023,148.6851891072591,153.15096028667543,145.7492706298828,138.34758097309017,0.01894739650353472,0.3772609723163409,-0.3583135758128062
2022-11-30,146.82046508789062,144.38995437622071,144.61255554199218,151.41580017089845,148.63338358561197,152.1612858390666,145.32279052734376,138.4842952156209,0.12172009822552354,0.32615279749817744,-0.2044326992726539
2022-12-01,147.09814453125,144.5645263671875,144.5102896118164,151.44449920654296,148.53689158121745,150.41400508991836,144.77529602050782,139.13658695109729,0.22300396430730984,0.30552303086000393,-0.08251906655269409
2022-12-02,146.60223388671875,145.01878356933594,144.4175131225586,151.47189743041992,148.4765224202474,150.26918230248768,144.71578369140624,139.1623850803248,0.26025624142522474,0.2964696729730481,-0.03621343154782336
2022-12-05,145.43190002441406,145.42791366577148,144.34707641601562,151.45812576293946,148.4063101196289,150.49422007086042,145.19384765625,139.89347524163958,0.19311664910955528,0.27579906820034955,-0.08268241909079427
2022-12-06,141.74227905273438,145.62578353881835,144.19611389160156,151.39064819335937,148.30149525960286,149.5018430038251,145.53900451660155,141.57616602937802,-0.15601509359780152,0.18943623584071934,-0.34545132943852086
2022-12-07,139.78839111328125,145.69719619750975,143.98646789550781,151.33428497314452,148.14060526529948,149.87140573452072,144.1325897216797,138.39377370883867,-0.5836391140388741,0.034821165864800635,-0.6184602799036748
2022-12-08,141.48440551757812,146.08301696777343,143.84876556396483,151.25602142333983,148.05190958658855,148.15439730452408,143.0098419189453,137.86528653336654,-0.7767264241381042,-0.12748835213578036,-0.6492380720023239
2022-12-09,140.9984130859375,145.84944229125978,143.84709838867187,151.15272659301758,147.95509592692056,145.67780493617306,141.88907775878906,138.10035058140505,-0.9579226995417116,-0.2935752216169666,-0.664347477924745
2022-12-12,143.3093719482422,145.59107208251953,143.97641082763673,151.04969955444335,147.90809926350911,143.74627114609945,141.46457214355468,139.1828731410099,-0.904619100662245,-0.4157839974260223,-0.48883510323622276
2022-12-13,144.28134155273438,145.45171890258788,144.04099670410156,150.96885131835938,147.85143188476562,145.20662508286284,141.97238464355468,138.7381442042465,-0.7750119353622722,-0.48762958501327225,-0.28738235034899995
2022-12-14,142.03985595703125,145.1130111694336,143.98846923828125,150.87686065673827,147.83262379964194,144.83867345227014,142.42267761230468,140.00668177233922,-0.843443782885771,-0.558792424587772,-0.28465135829799904
2022-12-15,135.38465881347656,144.50353317260743,143.79689666748047,150.7316667175293,147.7954204305013,147.4322237240209,141.20272827148438,134.97323281894785,-1.4183455007118368,-0.730703039812585,-0.6876424608992519
2022-12-16,133.41091918945312,143.69965515136718,143.58505889892578,150.51541610717774,147.71506490071616,148.52445110232622,139.6852294921875,130.84600788204875,-2.010052907754499,-0.9865730134009678,-1.0234798943535313
2022-12-19,131.28842163085938,142.7613868713379,143.43652313232423,150.27240341186524,147.63090891520181,147.3263815434666,137.28103942871093,127.23569731395524,-2.6200507907925044,-1.3132685688792751,-1.3067822219132292
2022-12-20,131.21897888183594,141.98230667114257,143.2800634765625,149.97767364501954,147.52189900716147,142.6563278969783,134.66856689453124,126.68080589208418,-3.0736508239689613,-1.6653450198972124,-1.4083058040717489
2022-12-21,134.3432159423828,141.25182418823243,143.21460571289063,149.7240739440918,147.48922281901042,136.43713303577883,133.12923889160157,129.82134474742432,-3.1447812175084096,-1.9612322594194518,-1.1835489580889578
2022-12-22,131.1495361328125,140.31752014160156,143.0979489135742,149.45336990356446,147.45812998453775,134.95395622196716,132.28221435546874,129.61047248897032,-3.419438676258494,-2.25287354278726,-1.166565133471234
2022-12-23,130.78257751464844,139.51165924072265,142.881865234375,149.11848083496093,147.42300872802736,134.366688669739,131.7565460205078,129.14640337127662,-3.624931233978799,-2.527285081025568,-1.097646152953231
2022-12-27,128.96749877929688,138.80795516967774,142.72077545166016,148.7686051940918,147.3393986002604,134.75627407087399,131.2923614501953,127.82844882951662,-3.8894125246540625,-2.7997105697512668,-1.0897019549027958
2022-12-28,125.0101089477539,138.0576358795166,142.40072860717774,148.38143287658693,147.24753423055014,136.16611927253527,130.05058746337892,123.93505565422257,-4.367992638956878,-3.113366983592389,-1.2546256553644888
2022-12-29,128.5509490966797,137.14416007995607,142.12496170043946,148.03442207336425,147.1782206726074,133.26128472709848,128.8921340942383,124.52298346137809,-4.410710692254639,-3.372835725324839,-1.0378749669298002
2022-12-30,128.86831665039062,136.2326686859131,141.85336380004884,147.69008995056151,147.089532623291,132.20160472833223,128.4358901977539,124.67017566717557,-4.368597673405532,-3.571988114940978,-0.7966095584645538
2023-01-03,124.04804229736328,135.1049591064453,141.49466796875,147.2547787475586,146.9300799560547,131.3223016939186,127.08898315429687,122.85566461467512,-4.670341864310473,-3.7916588648148766,-0.878682999495596
2023-01-04,125.3275146484375,134.0997398376465,141.08472351074218,146.839688873291,146.78443084716798,130.2929360502415,126.360986328125,122.42903660600848,-4.751461691123978,-3.983619430076697,-0.7678422610472815
2023-01-05,123.99845886230469,133.212548828125,140.6050259399414,146.37556259155272,146.63077809651693,130.43671801441772,126.15865631103516,121.8805946076526,-4.866890943605313,-4.16027373278242,-0.706617210822893
2023-01-06,128.56085205078125,132.651171875,140.15934326171876,145.94626739501953,146.4910610961914,130.44313382851345,126.16063690185547,121.87813997519748,-4.537912229589892,-4.235801432143914,-0.30211079744597846
2023-01-09,129.08653259277344,132.03127822875976,139.78338745117188,145.52381332397462,146.39328053792318,130.59923512924163,126.20428009033203,121.80932505142245,-4.186516644266874,-4.2259444745685055,0.03942783030163177
2023-01-10,129.6617889404297,131.46444702148438,139.50904357910156,145.0920608520508,146.29432515462238,131.81226858730372,127.32702941894532,122.84179025058691,-3.8176077261037165,-4.144277124875548,0.32666939877183143
2023-01-11,132.3992462158203,130.91894073486327,139.07279541015626,144.69164367675782,146.1966776529948,134.17270407392394,128.7413757324219,123.31004739091985,-3.266698361117335,-3.9687613721239052,0.7020630110065702
2023-01-12,132.3199005126953,130.32086868286132,138.682490234375,144.3164747619629,146.10344543457032,133.6719108847142,130.4056640625,127.13941724028578,-2.8041764547691344,-3.735844388652951,0.9316679338838165
