date,futures_id,contract_date,open,high,low,close,spread,spread_per,volume,settlement_price,SMA_5,SMA_10,SMA_20,SMA_50,SMA_100,SMA_200,rsi,bbands_upperband,bbands_middleband,bbands_lowerband,macd_macd,macd_macdsignal,macd_macdhist,atr,profit_or_loss_after_20_days
2024-04-30,TX,202405,20518.0,20576.0,20404.0,20413.0,-137.0,-0.67,77061,20413.0,20239.6,20048.8,20289.6,19847.32,18749.21,17728.44,55.403031880965294,21081.722061301243,20289.6,19497.477938698754,82.58331775505576,103.76565312082707,-21.18233536577131,318.49255831322864,1309.0
2024-05-02,TX,202405,20250.0,20380.0,20215.0,20291.0,-122.0,-0.6,90193,20292.0,20263.8,20059.4,20289.75,19880.46,18778.48,17744.87,53.206201607149204,21081.87192874588,20289.75,19497.62807125412,84.6760722366489,99.94773694399143,-15.271664707342524,309.88594700514085,1100.0
2024-05-03,TX,202405,20548.0,20597.0,20306.0,20382.0,90.0,0.44,100974,20382.0,20363.2,20061.8,20282.7,19914.68,18808.96,17763.35,54.650644374326696,21068.880157470292,20282.7,19496.51984252971,92.60998446881786,98.48018644895672,-5.870201980138859,309.6083793619165,903.0
2024-05-06,TX,202405,20685.0,20714.0,20562.0,20602.0,220.0,1.08,83722,20601.0,20448.0,20167.4,20295.35,19951.66,18841.05,17783.245,58.02412175341804,21093.44179296634,20295.35,19497.258207033658,115.32048568240862,101.8482462956471,13.472239386761515,311.20778083606535,1052.0
2024-05-07,TX,202405,20733.0,20756.0,20536.0,20650.0,49.0,0.24,85595,20648.0,20467.6,20280.0,20305.35,19990.82,18873.34,17803.745,58.74520328614494,21115.857563197424,20305.35,19494.842436802574,135.6284796738837,108.60429297129443,27.024186702589276,304.692939347775,670.0
2024-05-08,TX,202405,20618.0,20738.0,20574.0,20725.0,77.0,0.37,73449,20724.0,20530.0,20384.8,20297.9,20027.54,18906.4,17823.02,59.90421548335645,21089.890631257473,20297.9,19505.90936874253,155.97658346009848,118.07875106905524,37.89783239104324,294.6434436800768,738.0
2024-05-09,TX,202405,20707.0,20763.0,20605.0,20612.0,-112.0,-0.54,79443,20612.0,20594.2,20429.0,20285.95,20061.52,18939.43,17841.455,57.29257288150662,21050.95051633967,20285.95,19520.94948366033,161.12707407938433,126.68841567112106,34.438658408263265,284.88319770292844,1263.0
2024-05-10,TX,202405,20738.0,20828.0,20616.0,20809.0,197.0,0.96,97925,20812.0,20679.6,20521.4,20288.75,20098.44,18973.71,17860.08,60.52377717430212,21060.943984695525,20288.75,19516.556015304475,179.04125249529534,137.1589830359559,41.882269459339426,279.96296929557644,1088.0
2024-05-13,TX,202405,20942.0,20965.0,20833.0,20883.0,71.0,0.34,98279,20881.0,20735.8,20591.9,20295.15,20138.76,19009.84,17878.035,61.69611822873967,21084.6235651051,20295.15,19505.676434894904,196.93935521437015,149.11505747163875,47.8242977427314,271.10847148874956,915.0
2024-05-14,TX,202405,20892.0,21015.0,20868.0,21013.0,132.0,0.63,83853,21006.0,20808.4,20638.0,20320.4,20179.7,19046.2,17896.645,63.733712887763346,21165.810527495112,20320.4,19474.98947250489,219.08813249894956,163.1096724771009,55.97846002184866,262.2435806681246,1033.0
2024-05-15,TX,202406,21192.0,21381.0,21120.0,21247.0,238.0,1.13,63095,21243.0,20912.8,20721.4,20385.1,20225.42,19084.49,17916.755,67.12382087190522,21303.08450967333,20385.1,19467.11549032667,252.61109894699257,181.00995777107923,71.60114117591334,269.7976106204014,1076.0
2024-05-16,TX,202406,21465.0,21556.0,21326.0,21370.0,127.0,0.6,104856,21372.0,21064.4,20829.3,20444.35,20266.54,19123.55,17938.18,68.776057018093,21451.648818623395,20444.35,19437.051181376602,285.8087381989135,201.96971385664608,83.83902434226741,272.59778129037267,1141.0
2024-05-17,TX,202406,21303.0,21407.0,21288.0,21336.0,-36.0,-0.17,71837,21335.0,21169.8,20924.7,20493.25,20305.48,19162.38,17959.23,67.76229187080207,21571.490580761085,20493.25,19415.009419238915,305.84895427151423,222.7455619396197,83.10339233189453,261.6265111982032,1141.0
2024-05-20,TX,202406,21435.0,21485.0,21153.0,21302.0,-33.0,-0.15,109398,21299.0,21253.6,20994.7,20581.05,20341.34,19198.74,17981.02,66.70344530545921,21621.783486537286,20581.05,19540.316513462712,315.352269379433,241.26690342758235,74.08536595185063,266.65318896976015,1484.0
2024-05-21,TX,202406,21324.0,21350.0,21165.0,21277.0,-22.0,-0.1,74973,21282.0,21306.4,21057.4,20668.7,20372.7,19234.77,18002.5,65.88818135102889,21630.88212413234,20668.7,19706.517875867663,317.20982657931745,256.45548805792936,60.75433852138809,260.820818329063,1852.0
2024-05-22,TX,202406,21293.0,21613.0,21283.0,21583.0,301.0,1.41,95352,21581.0,21373.6,21143.2,20764.0,20408.54,19274.05,18024.515,70.62131181788102,21691.340929755635,20764.0,19836.659070244365,339.46050727347756,273.056491901039,66.40401537243855,266.19075987698704,1795.0
2024-05-23,TX,202406,21630.0,21661.0,21492.0,21604.0,23.0,0.11,85458,21605.0,21420.4,21242.4,20835.7,20446.32,19314.35,18047.025,70.9195255521231,21789.613224565033,20835.7,19881.786775434968,354.70009462903545,289.3852124466383,65.31488218239713,259.24856274291653,1606.0
2024-05-24,TX,202406,21448.0,21617.0,21414.0,21565.0,-40.0,-0.19,74314,21568.0,21466.2,21318.0,20919.7,20478.52,19353.4,18068.745,69.50840995930304,21818.218803364718,20919.7,20021.181196635283,359.4866648406096,303.4055029254326,56.081161915177006,255.23080826127963,1181.0
2024-05-27,TX,202406,21670.0,21917.0,21655.0,21875.0,307.0,1.42,88063,21870.0,21580.8,21417.2,21004.55,20517.48,19396.86,18091.81,73.94605037831352,21927.064926708485,21004.55,20082.035073291514,383.8694572873901,319.4982937978241,64.37116348956602,262.14289338547394,868.0
2024-05-28,TX,202406,21892.0,21994.0,21845.0,21954.0,84.0,0.38,71888,21951.0,21716.2,21511.3,21074.65,20557.78,19440.82,18116.08,74.94671112382707,22059.89540597749,21074.65,20089.40459402251,404.90019829512676,336.5786746972846,68.32152359784214,254.06125814365438,918.0
2024-05-29,TX,202406,21865.0,21907.0,21720.0,21722.0,-229.0,-1.04,85938,21730.0,21744.0,21558.8,21140.1,20597.62,19481.82,18138.78,66.82916264709353,22114.69220189794,21140.1,20165.50779810206,398.2559048020994,348.91412071824755,49.34178408385185,252.62831113339334,1071.0
2024-05-30,TX,202406,21512.0,21553.0,21368.0,21391.0,-339.0,-1.56,100242,21395.0,21701.4,21560.9,21195.1,20627.06,19518.38,18161.665,57.29441330922129,22092.945175963134,21195.1,20297.254824036863,362.10717451779055,351.55273147815615,10.554443039634407,259.86914605243663,1592.0
2024-05-31,TX,202406,21505.0,21583.0,21253.0,21285.0,-110.0,-0.51,130856,21288.0,21645.4,21555.8,21240.25,20655.42,19552.66,18183.97,54.60747372756366,22057.17224232178,21240.25,20423.32775767822,321.20310179341686,345.4828055412083,-24.279703747791416,264.87849276297686,1706.0
2024-06-03,TX,202406,21469.0,21698.0,21424.0,21654.0,366.0,1.72,116258,21655.0,21601.2,21591.0,21292.85,20691.84,19590.55,18207.23,61.39477193870765,22073.27303272016,21292.85,20512.426967279836,314.93121459576287,339.3724873521192,-24.44127275635634,275.4586004227642,1177.0
2024-06-04,TX,202406,21560.0,21574.0,21284.0,21320.0,-335.0,-1.55,111097,21327.0,21474.4,21595.3,21326.35,20712.96,19625.07,18229.565,53.584650858447866,22048.892254819868,21326.35,20603.80774518013,279.78450850534136,327.45489158276365,-47.67038307742229,282.2115575354239,1865.0
2024-06-05,TX,202406,21350.0,21493.0,21226.0,21463.0,136.0,0.64,108838,21460.0,21422.6,21583.3,21363.25,20737.38,19661.72,18252.62,56.15627825153757,22032.601290429844,21363.25,20693.898709570156,260.4668953746077,314.05729234113244,-53.590396966524736,281.12501771146503,2161.0
2024-06-06,TX,202406,21825.0,21962.0,21791.0,21875.0,415.0,1.93,109836,21873.0,21519.4,21610.4,21426.4,20770.26,19705.01,18278.695,62.587696232212885,22035.97506510663,21426.4,20816.82493489337,275.2298264502497,306.2917991629559,-31.061972712706222,296.6875164463604,1695.0
2024-06-07,TX,202406,21839.0,21908.0,21781.0,21897.0,24.0,0.11,69801,21894.0,21641.8,21643.6,21480.8,20804.46,19748.52,18305.055,62.90064684646861,22053.338767246467,21480.8,20908.26123275353,285.41468895737125,302.116377121839,-16.701688164467726,284.56697955733466,2016.0
2024-06-11,TX,202406,21920.0,21970.0,21783.0,21798.0,-96.0,-0.44,94289,21801.0,21670.6,21635.9,21526.55,20835.2,19791.31,18332.155,60.45014030193392,22044.313063572667,21526.55,21008.786936427332,282.24425714434983,298.14195312634115,-15.897695981991319,277.59790958895366,2080.0
2024-06-12,TX,202406,21829.0,22063.0,21790.0,22046.0,245.0,1.12,95615,22046.0,21815.8,21645.1,21578.2,20872.06,19835.82,18360.275,64.21150434220505,22086.753478013736,21578.2,21069.646521986266,296.32731760828756,297.7790260227304,-1.4517084144428622,277.26948747545697,1954.0
2024-06-13,TX,202406,22308.0,22473.0,22207.0,22323.0,277.0,1.26,114828,22325.0,21987.8,21705.2,21632.0,20912.92,19883.6,18390.03,67.8853156794984,22211.703027419993,21632.0,21052.296972580007,326.0809710474605,303.43941502767643,22.641556019784048,287.9645240843529,2044.0
2024-06-14,TX,202406,22274.0,22514.0,22270.0,22511.0,186.0,0.83,86467,22510.0,22115.0,21817.2,21689.05,20957.38,19934.13,18420.315,70.1267145983393,22370.10520334262,21689.05,21007.994796657378,360.6733665220563,314.8862053265524,45.78716119550393,284.8242009354705,1297.0
