,date,futures_id,contract_date,open,high,low,close,spread,spread_per,volume,settlement_price,SMA_5,SMA_10,SMA_20,SMA_50,SMA_100,SMA_200,rsi,bbands_upperband,bbands_middleband,bbands_lowerband,macd_macd,macd_macdsignal,macd_macdhist,atr
44432,2021-03-30,TX,202104,16469.0,16531.0,16418.0,16519.0,111.0,0.68,100799,16520.0,16246.6,16190.4,16114.35,15951.06,14910.77,13637.405,62.62643259767787,16496.216612837383,16114.35,15732.483387162618,124.62376988367396,110.10953144899848,14.514238434675477,239.23403730099403
44460,2021-03-31,TX,202104,16540.0,16549.0,16403.0,16422.0,-98.0,-0.59,104772,16423.0,16334.4,16216.6,16126.4,15970.42,14948.97,13662.73,59.314445449285614,16530.48236784109,16126.4,15722.317632158909,131.87509013485032,114.46264318616885,17.412446948681477,232.57446320806588
44490,2021-04-01,TX,202104,16535.0,16587.0,16452.0,16551.0,128.0,0.78,115342,16549.0,16438.2,16247.8,16157.7,15990.76,14990.34,13688.2,62.17905848988187,16590.49145093213,16157.7,15724.908549067872,146.3440722104442,120.83892899102392,25.50514321942029,227.74771583606116
44516,2021-04-06,TX,202104,16760.0,16840.0,16697.0,16731.0,182.0,1.1,103549,16728.0,16526.8,16319.7,16201.5,16015.52,15032.5,13714.005,65.79772225992346,16677.991133180833,16201.5,15725.00886681917,170.37140492254366,130.74542417732786,39.6259807452158,232.1228789906282
44546,2021-04-07,TX,202104,16777.0,16788.0,16673.0,16768.0,40.0,0.24,93030,16767.0,16598.2,16382.5,16249.1,16035.6,15073.33,13739.8,66.50710798980559,16751.53721995884,16249.1,15746.66278004116,190.20625072350413,142.63758948656312,47.56866123694101,223.75695906272617
44574,2021-04-08,TX,202104,16715.0,16930.0,16687.0,16930.0,163.0,0.97,111596,16927.0,16680.4,16463.5,16304.5,16059.62,15113.98,13765.92,69.49081389906453,16848.934201717733,16304.5,15760.065798282269,216.5018563997728,157.41044286920504,59.09141353056776,225.13146198681716
44600,2021-04-09,TX,202104,16952.0,16971.0,16810.0,16841.0,-86.0,-0.51,103181,16839.0,16764.2,16549.3,16352.4,16083.76,15153.49,13792.67,66.01158348245235,16908.515959130862,16352.4,15796.284040869137,227.53685393645173,171.4357250826544,56.10112885379735,220.55064327347307
44626,2021-04-12,TX,202104,16895.0,16965.0,16760.0,16834.0,-5.0,-0.03,113383,16835.0,16820.8,16629.5,16385.4,16108.32,15192.47,13819.865,65.73282326428195,16972.70857306862,16385.4,15798.091426931383,233.03109013827998,183.7547980937795,49.27629204450048,219.43988303965355
44653,2021-04-13,TX,202104,16910.0,17046.0,16780.0,16795.0,-40.0,-0.24,150603,16793.0,16833.6,16680.2,16414.05,16126.46,15229.21,13847.695,64.10848159219077,17022.213292216944,16414.05,15805.886707783055,231.56895508115485,193.31762949125456,38.25132558990029,222.76560567967832
44681,2021-04-14,TX,202104,16860.0,16917.0,16592.0,16856.0,63.0,0.38,185298,16857.0,16851.2,16724.7,16446.85,16148.86,15267.06,13874.345,65.5427347594163,17075.705873790073,16446.85,15817.994126209926,232.65054208675792,201.18421201035522,31.4663300764027,230.06806241684416
44708,2021-04-15,TX,202104,16881.0,17074.0,16852.0,17071.0,214.0,1.27,132033,17069.0,16879.4,16779.9,16485.15,16167.7,15305.14,13902.91,70.08085930082932,17165.944029057067,16485.15,15804.355970942936,247.99764823545775,210.54689925537573,37.45074898008201,229.49177224421243
44735,2021-04-16,TX,202104,17062.0,17160.0,16990.0,17158.0,89.0,0.52,127426,17156.0,16942.8,16853.5,16535.05,16191.18,15344.42,13931.73,71.70481302115618,17258.183037552637,16535.05,15811.916962447362,264.1357211640934,221.26466363711927,42.87105752697414,225.24235994105442
44766,2021-04-19,TX,202104,17118.0,17296.0,17111.0,17271.0,115.0,0.67,124734,17269.0,17030.2,16925.5,16586.65,16218.36,15384.29,13961.035,73.7014547013328,17363.223570243023,16586.65,15810.076429756982,282.7836618214096,233.56846327397733,49.215198547432294,222.36790565955053
44795,2021-04-20,TX,202104,17238.0,17324.0,17206.0,17319.0,50.0,0.29,114295,17320.0,17135.0,16984.3,16652.0,16252.22,15421.67,13990.515,74.5238283913044,17443.96388806558,16652.0,15860.03611193442,298.00032573444696,246.45483576607126,51.545489968375705,214.91305525529694
44826,2021-04-21,TX,202105,17164.0,17194.0,17088.0,17138.0,-119.0,-0.69,57490,17135.0,17191.4,17021.3,16701.9,16281.78,15456.8,14018.93,66.12660462983067,17484.240820870044,16701.9,15919.559179129961,292.0874518687706,255.58135898661112,36.506092882159464,216.06212273706143
44857,2021-04-22,TX,202105,17258.0,17369.0,17053.0,17109.0,-26.0,-0.15,189953,17106.0,17199.0,17039.2,16751.35,16316.3,15490.72,14046.86,64.86547913424563,17504.809030074117,16751.35,15997.890969925882,281.8128361407471,260.82765441743834,20.985181723308756,223.20054254155704
44882,2021-04-23,TX,202105,17061.0,17260.0,17041.0,17257.0,151.0,0.88,122696,17255.0,17218.8,17080.8,16815.05,16359.94,15525.89,14076.34,68.19877825606555,17511.13461410949,16815.05,16118.965385890506,282.3576490473861,265.1336533434279,17.223995703958167,222.90050378858868
44909,2021-04-26,TX,202105,17337.0,17536.0,17323.0,17530.0,275.0,1.59,128096,17526.0,17270.6,17150.4,16889.95,16403.34,15563.83,14106.645,73.24172107688939,17554.548367437063,16889.95,16225.351632562937,301.34452355774556,272.37582738629146,28.9686961714541,226.90761066083232
