date,open,high,low,close,spread,spread_per,volume,settlement_price,SMA_5,SMA_10,SMA_20,SMA_50,SMA_100,SMA_200,rsi,bbands_upperband,bbands_middleband,bbands_lowerband,macd_macd,macd_macdsignal,macd_macdhist,atr,stoch_slowk,stoch_slowd,profit_or_loss_after_20_days
2020-08-25,12657.0,12795.0,12643.0,12737.0,134.0,1.06,111954,12735.0,12587.8,12693.5,12676.85,12194.42,11462.68,11409.67,56.34391406527166,12996.936410208154,12676.85,12356.763589791846,124.87474431470218,175.57654611924085,-50.70180180453866,214.6657346883833,60.257787325456235,48.2846564337819,-230.0
2020-08-26,12730.0,12799.0,12681.0,12792.0,57.0,0.45,86909,12795.0,12596.2,12707.2,12695.3,12225.68,11495.08,11416.9,57.70686597768988,12996.726010822067,12695.3,12393.873989177931,126.34404717409052,165.73004633021077,-39.38599915612025,207.76103935349877,69.17293233082681,58.07375581811649,-264.0
2020-08-27,12838.0,12925.0,12735.0,12760.0,-35.0,-0.27,126988,12758.0,12687.2,12710.9,12703.5,12250.36,11524.42,11423.845,56.59967722744397,13002.58828128155,12703.5,12404.41171871845,123.50268562889323,157.28457418994725,-33.78188856105402,206.49239368539173,74.75832438238426,68.06301467955579,-585.0
2020-08-28,12740.0,12782.0,12634.0,12691.0,-67.0,-0.53,138555,12688.0,12716.8,12701.2,12709.2,12277.02,11551.36,11429.58,54.18554306457243,13002.721106566438,12709.2,12415.678893433564,114.36483614899225,148.70062658175624,-34.335790432763986,202.31436556500663,73.11134980307887,72.34753550543,-496.0
2020-08-31,12800.0,12826.0,12563.0,12591.0,-97.0,-0.76,142474,12589.0,12714.2,12664.8,12716.6,12300.96,11576.0,11434.31,50.803517962859246,12989.651936451684,12716.6,12443.548063548316,97.9250414151793,138.54550954844086,-40.62046813326157,206.64905373893473,67.51101863883792,71.79356427476704,-174.0
2020-09-01,12566.0,12698.0,12531.0,12691.0,102.0,0.81,114612,12688.0,12705.0,12646.4,12719.7,12326.58,11601.9,11439.5,53.90207474427247,12990.098298811015,12719.7,12449.301701188986,91.90611344520948,129.21763032779458,-37.311516882585096,203.81697847186797,66.9414128060742,69.18792708266368,-270.0
2020-09-02,12765.0,12776.0,12595.0,12691.0,3.0,0.02,127417,12690.0,12684.8,12640.5,12717.05,12351.94,11627.48,11444.975,53.90207474427247,12987.482597887312,12717.05,12446.617402112686,86.14306602206852,120.60271746664937,-34.45965144458084,202.18719429530597,62.395329327599974,65.61592025750404,-219.0
2020-09-03,12792.0,12858.0,12705.0,12732.0,42.0,0.33,130555,12734.0,12679.2,12683.2,12711.9,12377.48,11654.07,11450.77,55.24250555186438,12977.022537706694,12711.9,12446.777462293305,83.91682583559486,113.26553914043846,-29.3487133048436,199.67382327421268,60.12637658471359,63.15437290612926,-203.0
2020-09-04,12558.0,12651.0,12510.0,12606.0,-128.0,-1.01,130795,12607.0,12662.2,12689.5,12704.05,12399.14,11676.67,11456.615,50.39292721020907,12971.938390939318,12704.05,12436.16160906068,71.16502140647026,104.84543559364482,-33.68041418717456,201.26855018319748,43.59479571578331,55.372167209365635,69.0
2020-09-07,12608.0,12733.0,12560.0,12582.0,-25.0,-0.2,137459,12580.0,12660.4,12687.3,12690.4,12423.56,11699.27,11461.91,49.50152325928035,12953.916526996009,12690.4,12426.88347300399,58.44876413115708,95.56610130114727,-37.11733716999019,199.2493680272548,31.582443518148153,45.10120527288169,173.0
